 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Set/2025
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"110001 ALTA FLORESTA D'OESTE";-;65;212;64;15;31;130;40;88;58;22;5;76;25;8;188;234;122;36;1419
"110002 ARIQUEMES";-;3;93;107;25;20;47;77;53;79;42;5;12;36;15;49;23;15;7;708
"110003 CABIXI";-;-;1;24;11;11;8;14;59;32;3;18;80;22;-;5;18;7;4;317
"110004 CACOAL";1;53;116;164;20;14;53;26;18;27;10;8;13;4;9;164;43;20;10;773
"110005 CEREJEIRAS";-;67;134;111;183;114;181;42;70;65;17;8;7;56;-;14;65;23;28;1185
"110006 COLORADO DO OESTE";2;87;157;278;187;244;80;22;37;105;42;20;30;40;4;23;46;15;3;1422
"110007 CORUMBIARA";-;3;6;34;11;10;4;1;2;2;1;-;-;1;-;-;2;-;1;78
"110008 COSTA MARQUES";-;-;1;-;1;-;17;8;15;5;2;2;2;4;-;6;2;-;-;65
"110009 ESPIGAO D'OESTE";-;7;20;15;16;16;64;25;24;30;5;9;8;5;1;69;33;19;12;378
"110010 GUAJARA-MIRIM";1;74;47;44;12;24;25;13;9;13;1;6;6;8;5;30;40;14;7;379
"110011 JARU";-;32;249;108;43;18;91;29;29;27;20;3;6;8;5;95;40;6;7;816
"110012 JI-PARANA";4;147;544;514;192;141;547;302;248;306;57;51;24;15;15;109;83;25;16;3340
"110013 MACHADINHO D'OESTE";-;2;30;46;11;3;7;8;3;3;2;4;2;1;1;51;24;22;5;225
"110014 NOVA BRASILANDIA D'OESTE";1;44;90;143;120;32;91;51;9;101;32;2;3;14;3;169;34;9;1;949
"110015 OURO PRETO DO OESTE";3;100;225;231;36;34;121;74;47;33;8;10;7;4;3;38;15;7;-;996
"110018 PIMENTA BUENO";18;35;183;132;21;10;42;13;28;49;16;15;19;20;5;77;168;39;10;900
"110020 PORTO VELHO";4;23;140;228;78;45;82;63;50;55;19;18;18;29;23;152;76;46;23;1172
"110025 PRESIDENTE MEDICI";-;57;57;154;44;36;162;36;58;24;5;8;2;-;-;25;43;8;2;721
"110026 RIO CRESPO";-;-;1;-;-;-;-;3;2;3;1;-;-;2;1;-;2;6;-;21
"110028 ROLIM DE MOURA";37;152;481;413;57;142;189;70;66;97;21;7;22;14;15;55;59;23;29;1949
"110029 SANTA LUZIA D'OESTE";-;3;92;51;13;16;63;46;33;38;36;14;14;14;7;93;78;16;9;636
"110030 VILHENA";3;48;89;112;46;69;46;27;54;26;10;7;12;77;6;42;35;13;8;730
"110032 SAO MIGUEL DO GUAPORE";-;33;267;239;175;134;61;25;25;34;15;12;1;9;48;87;21;15;3;1204
"110033 NOVA MAMORE";-;6;16;13;8;4;8;8;4;1;2;3;4;9;6;26;8;4;1;131
"110034 ALVORADA D'OESTE";-;10;173;147;59;10;29;8;16;17;3;11;-;1;2;156;134;8;4;788
"110037 ALTO ALEGRE DOS PARECIS";1;1;11;89;39;35;53;14;22;15;11;7;13;19;5;6;48;4;5;398
"110040 ALTO PARAISO";-;1;24;45;63;50;108;39;17;37;15;20;10;14;2;29;14;2;3;493
"110045 BURITIS";-;-;6;5;2;6;60;22;10;8;7;4;6;10;19;47;22;12;4;250
"110050 NOVO HORIZONTE DO OESTE";-;7;51;75;76;41;81;12;29;13;4;3;2;1;16;20;17;22;3;473
"110060 CACAULANDIA";-;-;5;6;1;1;-;3;1;2;-;-;-;-;2;2;11;1;1;36
"110070 CAMPO NOVO DE RONDONIA";-;3;33;89;63;9;65;86;15;27;28;5;6;2;2;3;1;2;-;439
"110080 CANDEIAS DO JAMARI";-;2;4;9;2;-;5;2;3;6;1;2;-;1;1;6;2;2;1;49
"110090 CASTANHEIRAS";1;-;2;7;-;2;-;2;-;-;-;-;1;-;-;-;-;1;-;16
"110092 CHUPINGUAIA";-;-;3;5;2;5;4;7;3;1;1;-;-;1;2;3;-;-;-;37
"110094 CUJUBIM";-;-;1;27;63;15;3;1;1;6;23;3;-;-;2;19;32;19;3;218
"110100 GOVERNADOR JORGE TEIXEIRA";-;1;98;24;2;2;8;2;5;3;2;-;-;-;-;5;3;-;-;155
"110110 ITAPUA DO OESTE";-;-;2;14;20;9;1;-;-;3;1;-;1;-;1;1;-;-;1;54
"110120 MINISTRO ANDREAZZA";-;8;19;36;6;9;18;5;12;4;4;3;-;1;-;5;6;5;2;143
"110130 MIRANTE DA SERRA";3;25;118;82;57;43;225;42;8;15;38;6;2;4;2;35;31;5;2;743
"110140 MONTE NEGRO";-;12;67;261;145;10;13;4;1;-;3;6;3;4;11;9;4;1;2;556
"110143 NOVA UNIAO";-;3;102;93;56;22;49;11;8;4;9;10;7;-;1;12;2;1;5;395
"110145 PARECIS";-;2;-;4;7;19;38;16;85;39;8;4;2;11;13;15;85;31;1;380
"110146 PIMENTEIRAS DO OESTE";-;3;3;3;3;2;29;2;2;16;3;3;-;2;-;2;10;1;2;86
"110147 PRIMAVERA DE RONDONIA";-;-;1;5;2;-;4;2;1;-;-;-;1;-;1;-;8;1;1;27
"110148 SAO FELIPE D'OESTE";-;1;4;3;1;4;1;3;-;1;-;-;-;-;-;2;3;1;-;24
"110149 SAO FRANCISCO DO GUAPORE";-;-;22;113;28;8;5;9;4;18;10;1;1;11;2;43;40;22;14;351
"110150 SERINGUEIRAS";-;-;98;85;90;49;23;57;7;16;16;7;2;1;11;108;19;13;-;602
"110155 TEIXEIROPOLIS";-;2;6;11;1;4;9;4;6;7;2;8;3;-;-;-;1;-;-;64
"110160 THEOBROMA";-;2;16;44;3;4;6;11;8;3;2;4;-;-;-;6;18;4;-;131
"110170 URUPA";-;4;5;5;3;11;12;6;5;2;2;1;-;-;-;1;5;-;1;63
"110175 VALE DO ANARI";-;-;43;9;1;-;21;1;3;4;3;-;2;-;-;8;18;5;6;124
"110180 VALE DO PARAISO";-;5;19;56;2;3;5;4;7;13;7;3;1;-;-;3;1;1;-;130
"120001 ACRELANDIA";-;-;7;154;72;2;7;5;-;-;4;3;1;5;3;2;7;2;1;275
"120005 ASSIS BRASIL";-;2;2;2;-;4;4;4;1;3;-;-;2;11;36;19;31;5;14;140
"120010 BRASILEIA";-;1;63;27;8;41;25;11;14;19;7;9;16;51;43;7;47;10;3;402
"120013 BUJARI";-;1;1;2;2;-;1;-;-;-;-;-;-;-;-;-;1;-;1;9
